Cancer id,Cancer label,Population id,Population,Sex,Type,Cases base in 2022,Year,Prediction,Change in number of cases,Change in number of cases due to population,Change in number of cases due to risk
"16,17",Melanoma of skin; Non-melanoma skin cancer,51,Armenia,2,0,101,2030,125,24,23.7624,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,51,Armenia,2,0,101,2035,141,40,39.604,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,51,Armenia,2,0,101,2040,152,51,50.495,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,51,Armenia,2,0,101,2045,154,53,52.4752,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,51,Armenia,2,0,101,2050,158,57,56.4356,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,52,Barbados,2,0,6,2022,6,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,52,Barbados,2,0,6,2025,6,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,52,Barbados,2,0,6,2030,7,1,16.6667,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,52,Barbados,2,0,6,2035,9,3,50,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,52,Barbados,2,0,6,2040,10,4,66.6667,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,52,Barbados,2,0,6,2045,10,4,66.6667,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,52,Barbados,2,0,6,2050,10,4,66.6667,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,56,Belgium,2,0,6032,2022,6032,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,56,Belgium,2,0,6032,2025,6196,164,2.7188,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,56,Belgium,2,0,6032,2030,6575,543,9.002,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,56,Belgium,2,0,6032,2035,7025,993,16.4622,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,56,Belgium,2,0,6032,2040,7440,1408,23.3422,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,56,Belgium,2,0,6032,2045,7773,1741,28.8627,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,56,Belgium,2,0,6032,2050,8005,1973,32.7089,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,64,Bhutan,2,0,2,2022,2,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,64,Bhutan,2,0,2,2025,2,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,64,Bhutan,2,0,2,2030,3,1,50,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,64,Bhutan,2,0,2,2035,3,1,50,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,64,Bhutan,2,0,2,2040,4,2,100,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,64,Bhutan,2,0,2,2045,5,3,150,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,64,Bhutan,2,0,2,2050,6,4,200,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,68,Bolivia,2,0,611,2022,611,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,68,Bolivia,2,0,611,2025,449,-162,-26.5139,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,68,Bolivia,2,0,611,2030,519,-92,-15.0573,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,68,Bolivia,2,0,611,2035,602,-9,-1.473,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,68,Bolivia,2,0,611,2040,702,91,14.8936,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,68,Bolivia,2,0,611,2045,816,205,33.5516,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,68,Bolivia,2,0,611,2050,947,336,54.9918,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,70,Bosnia Herzegovina,2,0,370,2022,370,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,70,Bosnia Herzegovina,2,0,370,2025,364,-6,-1.6216,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,70,Bosnia Herzegovina,2,0,370,2030,388,18,4.8649,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,70,Bosnia Herzegovina,2,0,370,2035,409,39,10.5405,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,70,Bosnia Herzegovina,2,0,370,2040,422,52,14.0541,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,70,Bosnia Herzegovina,2,0,370,2045,426,56,15.1351,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,70,Bosnia Herzegovina,2,0,370,2050,426,56,15.1351,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,72,Botswana,2,0,64,2022,64,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,72,Botswana,2,0,64,2025,69,5,7.8125,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,72,Botswana,2,0,64,2030,80,16,25,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,72,Botswana,2,0,64,2035,93,29,45.3125,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,72,Botswana,2,0,64,2040,107,43,67.1875,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,72,Botswana,2,0,64,2045,121,57,89.0625,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,72,Botswana,2,0,64,2050,137,73,114.0625,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,76,Brazil,2,0,18664,2022,18664,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,76,Brazil,2,0,18664,2025,19010,346,1.8538,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,76,Brazil,2,0,18664,2030,22619,3955,21.1905,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,76,Brazil,2,0,18664,2035,26771,8107,43.4366,0
