Pays,Lon,Lat,Globocan,Flags,pourcentage,yearly_shunshine_hour
Panama,-80.0,9.0,Panama,Panama,1.5,26.28
Papua New Guinea,147.0,-6.0,Papua New Guinea,Papouasie-Nouvelle -Guinée,0.0,0.0
Paraguay,-58.0,-23.0,Paraguay,Paraguay,1.42,26.28
Peru,-76.0,-10.0,Peru,Pérou,3.51,70.08
Philippines,122.0,13.5,Philippines,Philippines,0.0,0.0
Poland,20.0,52.0,Poland,Pologne,11.16,122.64
Portugal,-8.0,39.5,Portugal,Portugal,6.38,105.12
Qatar,51.2,25.3,Qatar,Qatar,-2.45,-52.56
Romania,25.0,46.0,Romania,Roumanie,9.45,122.64
Russia,100.0,60.0,Russian Federation,Russie,7.02,70.08
Rwanda,30.0,-2.0,Rwanda,Rwanda,-0.92,-17.52
Saint Kitts and Nevis,-62.7,17.3,,Saint-Christophe-et-Niévès,0.84,17.52
Saint Lucia,-61.0,13.9,Saint Lucia,Sainte-Lucie,0.9,17.52
Saint Vincent and the Grenadines,-61.2,13.2,,Saint-Vincent-et-les Grenadines,1.0,17.52
Samoa,-172.0,-13.5,Samoa,Samoa,0.0,0.0
San Marino,12.5,43.9,,Saint-Marin,7.86,113.88
Sao Tome and Principe,6.6,0.3,Sao Tome and Principe,São Tomé-et-Principe,-3.51,-52.56
Saudi Arabia,45.0,25.0,Saudi Arabia,Arabie saoudite,-3.81,-87.6
Senegal,-14.0,14.0,Senegal,Senegal,-1.67,-35.04
Serbia,21.0,44.0,Serbia,Serbie,9.1,122.64
Seychelles,55.5,-4.7,,Seychelles,0.0,0.0
Sierra Leone,-11.0,8.0,Sierra Leone,Sierra Leone,-3.69,-70.08
Singapore,103.8,1.3,Singapore,Singapour,1.1,17.52
Slovakia,19.5,48.7,Slovakia,Slovaquie,10.23,122.64
Slovenia,15.5,46.0,Slovenia,Slovenie,9.45,122.64
Solomon Islands,160.0,-8.0,Solomon Islands,Iles Salomon,0.0,0.0
Somalia,48.0,5.0,Somalia,Somalie,-4.78,-105.12
South Africa,24.0,-29.0,South Africa,Afrique du Sud,1.22,26.28
South Sudan,31.0,7.0,South Sudan,Soudan du Sud,-3.42,-70.08
Spain,-4.0,40.0,Spain,Espagne,6.02,105.12
Sri Lanka,81.0,7.0,Sri Lanka,Sri Lanka,-1.8,-35.04
Sudan,30.0,15.0,Sudan,Soudan,-3.05,-70.08
